LISTA COMPACTA DE PERFIS
Cada linha tem: nome | primeiro_nome | sexo_inferido | instituição | bolsa | categoria_bolsa | UF | região
Aurora Trinidad Ramirez Pozo | Aurora | female | UFPR | PQ-1D | PQ-1 | PR | Sul
Avelino Francisco Zorzo | Avelino | male | PUCRS | PQ-C | PQ-C | RS | Sul
Baldoino Fonseca dos Santos Neto | Baldoino | male | UFAL | PQ-C | PQ-C | AL | Nordeste
Benjamín René Callejas Bedregal | Benjamín | male | UFRN | PQ-A | unknown | RN | Nordeste
Breno Alexandro Ferreira de Miranda | Breno | male | UFPE | PQ-2 | PQ-2 | PE | Nordeste
Bruno Augusto Nassif Travençolo | Bruno | male | UFU | PQ-2 | PQ-2 | MG | Sudeste
Bruno Costa e Silva Nogueira | Bruno | male | UFAL | PQ-C | PQ-C | AL | Nordeste
Bruno Freitas Gadelha | Bruno | male | UFAM | PQ-C | PQ-C | AM | Norte
Caetano Traina Junior | Caetano | male | USP | PQ-1B | PQ-1 | SP | Sudeste
Carla Maria Dal Sasso Freitas | Carla | female | UFRGS | PQ-1C | PQ-1 | RS | Sul
Carla Negri Lintzmayer | Carla | female | UFABC | PQ-C | PQ-C | SP | Sudeste
Carlile Campos Lavor | Carlile | male | UNICAMP | PQ-1B | PQ-1 | SP | Sudeste
Carlos Alberto Kamienski | Carlos | male | UFABC | PQ-2 | PQ-2 | SP | Sudeste
Carlos Becker Westphall | Carlos | male | UFSC | PQ-1D | PQ-1 | SC | Sul
Carlos Eduardo Pereira | Carlos | male | UFRGS | PQ-1C | PQ-1 | RS | Sul
Celina Miraglia Herrera de Figueiredo | Celina | female | UFRJ | PQ-1A | PQ-1 | RJ | Sudeste
Célio Vinicius Neves de Albuquerque | Célio | male | UFF | PQ-1D | PQ-1 | RJ | Sudeste
Celso Alberto Saibel Santos | Celso | male | UFES | PQ-2 | PQ-2 | ES | Sudeste
Celso da Cruz Carneiro Ribeiro | Celso | male | UFF | PQ-1A | PQ-1 | RJ | Sudeste
Celso Massaki Hirata | Celso | male | ITA | PQ-C | PQ-C | SP | Sudeste
Cesar Augusto Fonticielha De Rose | Cesar | male | PUCRS | PQ-C | PQ-C | RS | Sul
César Lincoln Cavalcante Mattos | César | male | UFC | PQ-C | PQ-C | CE | Nordeste
Claudia Linhares Sales | Claudia | female | UFC | PQ-1D | PQ-1 | CE | Nordeste
Claudia Maria Bauzer Medeiros | Claudia | female | UNICAMP | PQ-1B | PQ-1 | SP | Sudeste
Claudia Maria Lima Werner | Claudia | female | UFRJ | PQ-1D | unknown | RJ | Sudeste
Claudine Santos Baduê | Claudine | female | UFES | PQ-2 | PQ-2 | ES | Sudeste
Cláudio Leonardo Lucchesi | Cláudio | male | USP | PQ-1A | PQ-1 | SP | Sudeste
Cláudio Rosito Jung | Cláudio | male | UFRGS | PQ-1B | PQ-1 | RS | Sul
Cleber Zanchettin | Cleber | male | UFPE | PQ-C | PQ-C | PE | Nordeste
Clodoveu Augusto Davis Junior | Clodoveu | male | UFMG | PQ-C | PQ-C | MG | Sudeste
Cristiane Neri Nobre | Cristiane | female | PUC Minas | PQ-2 | PQ-2 | MG | Sudeste
Cristiano André da Costa | Cristiano | male | UNISINOS | PQ-2 | PQ-2 | RS | Sul
Cristiano Bonato Both | Cristiano | male | UNISINOS | PQ-C | PQ-C | RS | Sul
Cristiano Maciel | Cristiano | male | UFMT | PQ-2 | PQ-2 | MT | Centro-Oeste
Cristiano Maciel da Silva | Cristiano | male | UFSJ | PQ-2 | PQ-2 | MG | Sudeste
Cristina Gomes Fernandes | Cristina | female | USP | PQ-B | unknown | SP | Sudeste
Dalcimar Casanova | Dalcimar | male | UTFPR | PQ-2 | PQ-2 | PR | Sul
Daniel Cardoso Moraes de Oliveira | Daniel | male | UFF | PQ-C | PQ-C | RJ | Sudeste
Daniel Carlos Guimarães Pedronette | Daniel | male | UNESP | PQ-2 | PQ-2 | SP | Sudeste
Daniel Fernandes Macedo | Daniel | male | UFMG | PQ-C | PQ-C | MG | Sudeste
Daniel Ludovico Guidoni | Daniel | male | UFOP | PQ-C | PQ-C | MG | Sudeste
Daniel Ratton Figueiredo | Daniel | male | UFRJ | PQ-2 | PQ-2 | RJ | Sudeste
Daniel Sadoc Menasche | Daniel | male | UFRJ | PQ-2 | PQ-2 | RJ | Sudeste
Danielo Gonçalves Gomes | Danielo | male | UFC | PQ-2 | PQ-2 | CE | Nordeste
Danilo Medeiros Eler | Danilo | male | UNESP | PQ-C | PQ-C | SP | Sudeste
Davi Viana dos Santos | Davi | male | UFMA | PQ-C | PQ-C | MA | Nordeste
David Menotti Gomes | David | male | UFPR | PQ-1D | PQ-1 | PR | Sul
Denis Deratani Mauá | Denis | male | USP | PQ-2 | PQ-2 | SP | Sudeste
Denis Fernando Wolf | Denis | male | USP | PQ-2 | PQ-2 | SP | Sudeste
Denis Lima do Rosário | Denis | male | UFPA | PQ-2 | PQ-2 | PA | Norte
Diana Sasaki Nobrega | Diana | female | UERJ | PQ-2 | PQ-2 | RJ | Sudeste
Dianne Scherly Varela de Medeiros | Dianne | female | UFF | PQ-2 | PQ-2 | RJ | Sudeste
Diego Leonel Cadette Dutra | Diego | male | UFRJ | PQ-C | PQ-C | RJ | Sudeste
Diego Parente Paiva Mesquita | Diego | male | FGV | PQ-C | PQ-C | RJ | Sudeste
Diego Raphael Amancio | Diego | male | USP | PQ-C | PQ-C | SP | Sudeste
Diogo Menezes Ferrazani Mattos | Diogo | male | UFF | PQ-C | PQ-C | RJ | Sudeste
Divanilson Rodrigo de Sousa Campelo | Divanilson | male | UFPE | PQ-C | PQ-C | PE | Nordeste
Djamel Fawzi Hadj Sadok | Djamel | male | UFPE | PQ-1C | PQ-1 | PE | Nordeste
Dorgival Olavo Guedes Neto | Dorgival | male | UFMG | PQ-2 | PQ-2 | MG | Sudeste
Douglas Dyllon Jeronimo de Macedo | Douglas | male | UFSC | PQ-2 | PQ-2 | SC | Sul
Douglas Guimarães Macharet | Douglas | male | UFMG | PQ-2 | PQ-2 | MG | Sudeste
Edelberto Franco Silva | Edelberto | male | UFJF | PQ-2 | PQ-2 | MG | Sudeste
Edison Pignaton de Freitas | Edison | male | UFRGS | PQ-2 | PQ-2 | RS | Sul
Edleno Silva de Moura | Edleno | male | UFAM | PQ-1B | PQ-1 | AM | Norte
Edmundo Albuquerque de Souza e Silva | Edmundo | male | UFRJ | PQ-SR | unknown | RJ | Sudeste
Edmundo Roberto Mauro Madeira | Edmundo | male | UNICAMP | PQ-1D | PQ-1 | SP | Sudeste
Edna Dias Canedo | Edna | female | UnB | PQ-C | PQ-C | DF | Centro-Oeste
Edson Borin | Edson | male | UNICAMP | PQ-2 | PQ-2 | SP | Sudeste
Edson Prestes e Silva Júnior | Edson | male | UFRGS | PQ-C | PQ-C | RS | Sul
Edson Takashi Matsubara | Edson | male | UFMS | PQ-2 | PQ-2 | MS | Centro-Oeste
Eduardo Antonio Guimaraes Tavares | Eduardo | male | UFPE | PQ-C | PQ-C | PE | Nordeste
Eduardo Camponogara | Eduardo | male | UFSC | PQ-1D | PQ-1 | SC | Sul
Eduardo Coelho Cerqueira | Eduardo | male | UFPA | PQ-B | unknown | PA | Norte
Eduardo Cunha de Almeida | Eduardo | male | UFPR | PQ-2 | PQ-2 | PR | Sul
Eduardo Figueiredo | Eduardo | male | UFMG | PQ-B | unknown | MG | Sudeste
Eduardo Freire Nakamura | Eduardo | male | UFAM | PQ-C | PQ-C | AM | Norte
Eduardo Santana de Almeida | Eduardo | male | UFBA | PQ-A | unknown | BA | Nordeste
Eduardo Sany Laber | Eduardo | male | PUC-Rio | PQ-1D | PQ-1 | RJ | Sudeste
Eduardo Soares Ogasawara | Eduardo | male | CEFET/RJ | PQ-C | PQ-C | RJ | Sudeste
Edward Hermann Haeusler | Edward | male | PUC-Rio | PQ-2 | PQ-2 | RJ | Sudeste
Elias Procópio Duarte Júnior | Elias | male | UFPR | PQ-B | unknown | PR | Sul
Elisa Yumi Nakagawa | Elisa | female | USP | PQ-1D | PQ-1 | SP | Sudeste
Ellen Francine Barbosa | Ellen | female | USP | PQ-C | PQ-C | SP | Sudeste
Emerson Cabrera Paraiso | Emerson | male | PUC/PR | PQ-C | PQ-C | PR | Sul
Erickson Rangel do Nascimento | Erickson | male | UFMG | PQ-C | PQ-C | MG | Sudeste
Ermeson Carneiro de Andrade | Ermeson | male | UFRPE | PQ-2 | PQ-2 | PE | Nordeste
Esteban Walter Gonzalez Clua | Esteban | male | UFF | PQ-B | unknown | RJ | Sudeste
Estevão Esmi Laureano | Estevão | male | UNICAMP | PQ-1D | PQ-1 | SP | Sudeste
Esther Luna Colombini | Esther | female | UNICAMP | PQ-C | PQ-C | SP | Sudeste
Evandro de Barros Costa | Evandro | male | UFAL | PQ-2 | PQ-2 | AL | Nordeste
Ezequiel Roberto Zorzal | Ezequiel | male | UNIFESP | PQ-C | PQ-C | SP | Sudeste
Fabiano Cutigi Ferrari | Fabiano | male | UFSCAR | PQ-C | PQ-C | SP | Sudeste
Fabiano Passuelo Hessel | Fabiano | male | PUCRS | PQ-C | PQ-C | RS | Sul
Fabio Andre Machado Porto | Fabio | male | LNCC | PQ-C | PQ-C | RJ | Sudeste
Fabio Gagliardi Cozman | Fabio | male | USP | PQ-1C | PQ-1 | SP | Sudeste
Fábio Happ Botler | Fábio | male | UFRJ | PQ-2 | PQ-2 | RJ | Sudeste
Fabio Kon | Fabio | male | USP | PQ-1C | PQ-1 | SP | Sudeste
Fabio Luciano Verdi | Fabio | male | UFSCAR | PQ-2 | PQ-2 | SP | Sudeste
Fábio Protti | Fábio | male | UFF | PQ-A | unknown | RJ | Sudeste
Fabio Queda Bueno da Silva | Fabio | male | UFPE | PQ-2 | PQ-2 | PE | Nordeste
Fabio Ribeiro Cerqueira | Fabio | male | UFF | PQ-C | PQ-C | RJ | Sudeste
Fabricia Carneiro Roos Frantz | Fabricia | female | UNIJUI | PQ-2 | PQ-2 | RS | Sul
Fabrício Aguiar Silva | Fabrício | male | UFV | PQ-C | PQ-C | MG | Sudeste
Fabrício Benevenuto de Souza | Fabrício | male | UFMG | PQ-1D | PQ-1 | MG | Sudeste
Fabrício Enembreck | Fabrício | male | PUC/PR | PQ-2 | PQ-2 | PR | Sul
Fabricio Olivetti de França | Fabricio | male | UFABC | PQ-2 | PQ-2 | SP | Sudeste
Fabricio Siqueira Benevides | Fabricio | male | UFC | PQ-C | PQ-C | CE | Nordeste
Fabrízzio Alphonsus Alves de Melo Nunes Soares | Fabrízzio | male | UFG | PQ-C | PQ-C | GO | Centro-Oeste
Fátima de Lourdes dos Santos Nunes Marques | Fátima | female | USP | PQ-2 | PQ-2 | SP | Sudeste
Fátima Nelsizeuma Sombra de Medeiros | Fátima | male | UFC | PQ-2 | PQ-2 | CE | Nordeste
Felipe Alves da Louza | Felipe | male | UFU | PQ-C | PQ-C | MG | Sudeste
Fernando Buarque de Lima Neto | Fernando | male | UPE | PQ-C | PQ-C | PE | Nordeste
Fernando José Von Zuben | Fernando | male | UNICAMP | PQ-1B | PQ-1 | SP | Sudeste
Fernando Magno Quintão Pereira | Fernando | male | UFMG | PQ-1D | PQ-1 | MG | Sudeste
Filipe Rolim Cordeiro | Filipe | male | UFRPE | PQ-C | PQ-C | PE | Nordeste
Flávia Coimbra Delicato | Flávia | female | UFF | PQ-1D | PQ-1 | RJ | Sudeste
Flávia Maria Santoro | Flávia | female | UERJ | PQ-2 | PQ-2 | RJ | Sudeste
Flavio Henrique Duarte de Araujo | Flavio | male | UFPI | PQ-2 | PQ-2 | PI | Nordeste
Flávio Keidi Miyazawa | Flávio | male | UNICAMP | PQ-1B | PQ-1 | SP | Sudeste
Flavio Miguel Varejao | Flavio | male | UFES | PQ-C | PQ-C | ES | Sudeste
Francisco Airton Pereira da Silva | Francisco | male | UFPI | PQ-2 | PQ-2 | PI | Nordeste
Francisco de Assis Tenorio de Carvalho | Francisco | male | UFPE | PQ-1A | PQ-1 | PE | Nordeste
Francisco Madeiro Bernardino Junior | Francisco | male | UPE | PQ-C | PQ-C | PE | Nordeste
Franklin de Lima Marquezino | Franklin | male | UFRJ | PQ-C | PQ-C | RJ | Sudeste
Frederico Luiz Gonçalves de Freitas | Frederico | male | UFPE | PQ-2 | PQ-2 | PE | Nordeste
Gabriel de Morais Coutinho | Gabriel | male | UFMG | PQ-2 | PQ-2 | MG | Sudeste
Gabriel de Oliveira Ramos | Gabriel | male | UNISINOS | PQ-2 | PQ-2 | RS | Sul
Gabriel Luca Nazar | Gabriel | male | UFRGS | PQ-2 | PQ-2 | RS | Sul
Genaina Nunes Rodrigues | Genaina | female | UnB | PQ-C | PQ-C | DF | Centro-Oeste
George Darmiton da Cunha Cavalcanti | George | male | UFPE | PQ-B | unknown | PE | Nordeste
George Luiz Medeiros Teodoro | George | male | UFMG | PQ-1D | PQ-1 | MG | Sudeste
Geraldo Braz Júnior | Geraldo | male | UFMA | PQ-C | PQ-C | MA | Nordeste
Geraldo Pereira Rocha Filho | Geraldo | male | UnB | PQ-2 | PQ-2 | DF | Centro-Oeste
Geraldo Robson Mateus | Geraldo | male | UFMG | PQ-1A | PQ-1 | MG | Sudeste
Gerson Zaverucha | Gerson | male | UFRJ | PQ-1D | PQ-1 | RJ | Sudeste
Gilson Antonio Giraldi | Gilson | male | LNCC | PQ-2 | PQ-2 | RJ | Sudeste
Gisele Lobo Pappa | Gisele | female | UFMG | PQ-1D | PQ-1 | MG | Sudeste
Gladston Juliano Prates Moreira | Gladston | male | UFOP | PQ-2 | PQ-2 | MG | Sudeste
Gleison dos Santos Souza | Gleison | male | UNIRIO | PQ-C | PQ-C | RJ | Sudeste
Graçaliz Pereira Dimuro | Graçaliz | female | FURG | PQ-1C | PQ-1 | RS | Sul
Guido Costa Souza de Araújo | Guido | male | UNICAMP | PQ-1B | PQ-1 | SP | Sudeste
Guilherme Horta Travassos | Guilherme | male | UFRJ | PQ-1C | PQ-1 | RJ | Sudeste
Guilherme Oliveira Mota | Guilherme | male | USP | PQ-2 | PQ-2 | SP | Sudeste
Guilherme Piêgas Koslovski | Guilherme | male | UDESC | PQ-C | PQ-C | SC | Sul
Guilherme Pimentel Telles | Guilherme | male | UNICAMP | PQ-C | PQ-C | SP | Sudeste
Gustavo Bittencourt Figueiredo | Gustavo | male | UFBA | PQ-2 | PQ-2 | BA | Nordeste
Gustavo Henrique Lima Pinto | Gustavo | male | UFPA | PQ-2 | PQ-2 | PA | Norte
Gustavo Pessin | Gustavo | male | ITV | PQ-1D | PQ-1 | PA | Norte
Gustavo Rau de Almeida Callou | Gustavo | male | UFRPE | PQ-C | PQ-C | PE | Nordeste
Heder Soares Bernardino | Heder | male | UFJF | PQ-C | PQ-C | MG | Sudeste
Heitor Soares Ramos Filho | Heitor | male | UFMG | PQ-C | PQ-C | MG | Sudeste
Helder May Nunes da Silva Oliveira | Helder | male | UFABC | PQ-2 | PQ-2 | SP | Sudeste
Helio Côrtes Vieira Lopes | Helio | male | PUC-Rio | PQ-B | unknown | RJ | Sudeste
Hélio Pedrini | Hélio | male | UNICAMP | PQ-1C | PQ-1 | SP | Sudeste
Henrique Coelho Fernandes | Henrique | male | UFU | PQ-2 | PQ-2 | MG | Sudeste
Henrique Cota de Freitas | Henrique | male | PUC Minas | PQ-2 | PQ-2 | MG | Sudeste
Horacio Antonio Braga Fernandes de Oliveira | Horacio | male | UFAM | PQ-C | PQ-C | AM | Norte
Hugo Valadares Siqueira | Hugo | male | UTFPR | PQ-2 | PQ-2 | PR | Sul
Igor Machado Coelho | Igor | male | UFF | PQ-C | PQ-C | RJ | Sudeste
Isabel Cristina Mello Rosseti | Isabel | female | UFF | PQ-C | PQ-C | RJ | Sudeste
Italo Fernando Scotá Cunha | Italo | male | UFMG | PQ-C | PQ-C | MG | Sudeste
Ivan do Carmo Machado | Ivan | male | UFBA | PQ-2 | PQ-2 | BA | Nordeste
Jacob Scharcanski | Jacob | male | UFRGS | PQ-1C | PQ-1 | RS | Sul
Jaelson Freire Brelaz de Castro | Jaelson | male | UFPE | PQ-2 | PQ-2 | PE | Nordeste
Jamilson Ramalho Dantas | Jamilson | male | UFPE | PQ-2 | PQ-2 | PE | Nordeste
Javam de Castro Machado | Javam | male | UFC | PQ-C | PQ-C | CE | Nordeste
Jayme Luiz Szwarcfiter | Jayme | male | UERJ | PQ-1A | PQ-1 | RJ | Sudeste
Jean Paul Barddal | Jean | male | PUC/PR | PQ-C | PQ-C | PR | Sul
Jeferson Campos Nobre | Jeferson | male | UFRGS | PQ-2 | PQ-2 | RS | Sul
Joao Batista Florindo | Joao | male | UNICAMP | PQ-2 | PQ-2 | SP | Sudeste
João Carlos de Oliveira Souza | João | male | UFPI | PQ-2 | PQ-2 | PI | Nordeste
João Dallyson Sousa de Almeida | João | male | UFMA | PQ-C | PQ-C | MA | Nordeste
João Eduardo Ferreira | João | male | USP | PQ-C | PQ-C | SP | Sudeste
João Luiz Dihl Comba | João | male | UFRGS | PQ-1C | PQ-1 | RS | Sul
João Paulo Andrade Almeida | João | male | UFES | PQ-2 | PQ-2 | ES | Sudeste
João Paulo Papa | João | male | UNESP | PQ-1D | PQ-1 | SP | Sudeste
Joaquim Bento Cavalcante Neto | Joaquim | male | UFC | PQ-2 | PQ-2 | CE | Nordeste
Joel Luis Carbonera | Joel | male | UFRGS | PQ-C | PQ-C | RS | Sul
Jomi Fred Hübner | Jomi | male | UFSC | PQ-C | PQ-C | SC | Sul
Jorge Luis Poco-Medina | Jorge | male | FGV | PQ-2 | PQ-2 | RJ | Sudeste
Jose Alberto Rodrigues Pereira Sardinha | Jose | male | PUC-Rio | PQ-C | PQ-C | RJ | Sudeste
José Antonio Fernandes de Macêdo | José | male | UFC | PQ-C | PQ-C | CE | Nordeste
José Augusto Miranda Nacif | José | male | UFV | PQ-2 | PQ-2 | MG | Sudeste
José Fernando Rodrigues Júnior | José | male | USP | PQ-C | PQ-C | SP | Sudeste
José Ferreira de Rezende | José | male | UFRJ | PQ-1D | PQ-1 | RJ | Sudeste
Jose Maria Nazar David | Jose | male | UFJF | PQ-C | PQ-C | MG | Sudeste
Jose Neuman de Souza | Jose | male | UFC | PQ-1C | PQ-1 | CE | Nordeste
José Palazzo Moreira de Oliveira | José | male | UFRGS | PQ-SR | unknown | RS | Sul
José Viterbo Filho | José | male | UFF | PQ-C | PQ-C | RJ | Sudeste
Judith Kelner | Judith | female | UFPE | PQ-1D | PQ-1 | PE | Nordeste
Juliano Araujo Wickboldt | Juliano | male | UFRGS | PQ-C | PQ-C | RS | Sul
Julio Cesar dos Reis | Julio | male | UNICAMP | PQ-C | PQ-C | SP | Sudeste
Julio Cesar Sampaio do Prado Leite | Julio | male | UFBA | PQ-SR | unknown | BA | Nordeste
Júlio César Silva Araújo | Júlio | male | UFC | PQ-C | PQ-C | CE | Nordeste
Jurandir de Oliveira Lopes | Jurandir | male | UFPI | PQ-C | PQ-C | PI | Nordeste
Jurandy Gomes de Almeida Junior | Jurandy | male | UFSCAR | PQ-2 | PQ-2 | SP | Sudeste
Jussara Marques de Almeida Goncalves | Jussara | female | UFMG | PQ-1C | PQ-1 | MG | Sudeste
Karin Becker | Karin | female | UFRGS | PQ-2 | PQ-2 | RS | Sul
Katia Romero Felizardo Scannavino | Katia | female | UTFPR | PQ-2 | PQ-2 | PR | Sul
Kelvin Lopes Dias | Kelvin | male | UFPE | PQ-2 | PQ-2 | PE | Nordeste
Kleber Vieira Cardoso | Kleber | male | UFG | PQ-C | PQ-C | GO | Centro-Oeste
Kleinner Silva Farias de Oliveira | Kleinner | male | UNISINOS | PQ-C | PQ-C | RS | Sul
Leandro Alves Neves | Leandro | male | UNESP | PQ-C | PQ-C | SP | Sudeste
Leandro Aparecido Villas | Leandro | male | UNICAMP | PQ-1D | PQ-1 | SP | Sudeste
Leandro Augusto Frata Fernandes | Leandro | male | UFF | PQ-C | PQ-C | RJ | Sudeste
Leandro Dias da Silva | Leandro | male | UFAL | PQ-C | PQ-C | AL | Nordeste
Leandro Santiago de Araujo | Leandro | male | UFF | PQ-C | PQ-C | RJ | Sudeste
Lehilton Lelis Chaves Pedrosa | Lehilton | male | UNICAMP | PQ-2 | PQ-2 | SP | Sudeste
Leobino Nascimento Sampaio | Leobino | male | UFBA | PQ-C | PQ-C | BA | Nordeste
Leonardo Chaves Dutra da Rocha | Leonardo | male | UFSJ | PQ-C | PQ-C | MG | Sudeste
Leonardo Gresta Paulino Murta | Leonardo | male | UFF | PQ-1D | PQ-1 | RJ | Sudeste
Leopoldo Motta Teixeira | Leopoldo | male | UFPE | PQ-C | PQ-C | PE | Nordeste
Lilian Berton | Lilian | female | UNIFESP | PQ-2 | PQ-2 | SP | Sudeste
Lisandro Zambenedetti Granville | Lisandro | male | UFRGS | PQ-1C | PQ-1 | RS | Sul
Lucas Francisco Wanner | Lucas | male | UNICAMP | PQ-C | PQ-C | SP | Sudeste
Lúcia Maria de Assumpção Drummond | Lúcia | female | UFF | PQ-1D | PQ-1 | RJ | Sudeste
Luciana Porcher Nedel | Luciana | female | UFRGS | PQ-C | PQ-C | RS | Sul
Luciano Antonio Digiampietri | Luciano | male | USP | PQ-C | PQ-C | SP | Sudeste
Luciano da Fontoura Costa | Luciano | male | USP | PQ-1A | PQ-1 | SP | Sudeste
Luciano Paschoal Gaspary | Luciano | male | UFRGS | PQ-A | unknown | RS | Sul
Luciano Rebouças de Oliveira | Luciano | male | UFBA | PQ-C | PQ-C | BA | Nordeste
Luerbio Faria | Luerbio | male | UERJ | PQ-2 | PQ-2 | RJ | Sudeste
Luidi Gelabert Simonetti | Luidi | male | UFRJ | PQ-2 | PQ-2 | RJ | Sudeste
Luigi Carro | Luigi | male | UFRGS | PQ-1A | PQ-1 | RS | Sul
